rec_id,season,town,zone_use,building_type,trade_date,total_price,land_area_ping,building_area_ping,area_ping,unit_price_ping,address,is_land_only,is_special
2138107664682253483,115S2,溪湖鎮,特定農業區,其他,1150322,47000000.0,330.93,0.0,330.93,142024.0,鳳山段186地號,True,False
5960906270500112688,115S2,溪湖鎮,農,透天厝,1150307,9500000.0,26.9,34.44,34.44,275842.0,彰化縣溪湖鎮湳底路８巷７弄２６號,False,False
6532288995479046858,115S2,溪湖鎮,住,華廈(10層含以下有電梯),1150320,8580000.0,11.09,23.2,23.2,369828.0,彰化縣溪湖鎮大道街４５號五樓,False,False
7175426012906587940,115S2,埔心鄉,特定農業區,其他,1150331,4270000.0,358.56,0.0,358.56,11909.0,仁華段407地號,True,False
8060852981633928828,115S2,埔心鄉,農,透天厝,1150312,12680000.0,32.69,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷１１號,False,False
3404453672385968175,115S2,埔心鄉,特定農業區,其他,1150319,1300000.0,168.31,0.0,168.31,7724.0,仁華段434地號,True,True
6454654339040930215,115S2,溪湖鎮,住,透天厝,1150328,6020000.0,32.47,33.21,33.21,181271.0,彰化縣溪湖鎮培英三街５號,False,False
6995924642148526586,115S2,埤頭鄉,鄉村區,透天厝,1150308,12550000.0,32.23,53.54,53.54,234404.0,彰化縣埤頭鄉稻香路４６４巷２９號,False,False
1868811539841387834,115S2,埤頭鄉,特定農業區,其他,1150312,431116.0,6.92,0.0,6.92,62300.0,和豐段1208地號,True,False
8902527844030690479,115S2,埔鹽鄉,工,透天厝,1150315,8000000.0,40.31,51.84,51.84,154321.0,彰化縣埔鹽鄉彰水路一段１９２巷２１號,False,False
7318471428774265833,115S2,埔鹽鄉,特定農業區,其他,1150327,6000000.0,594.41,0.0,594.41,10094.0,大義段83地號,True,True
1026283613633514274,115S2,秀水鄉,特定農業區,其他,1150311,13000000.0,970.12,0.0,970.12,13400.0,合興段923地號,True,False
1723755531700108275,115S2,溪湖鎮,特定農業區,其他,1150304,5343000.0,538.75,0.0,538.75,9917.0,顯光段607地號,True,False
2956373945365496340,115S2,埔鹽鄉,特定農業區,其他,1150313,7750000.0,892.37,0.0,892.37,8685.0,新水段535地號,True,False
304008313349143031,115S2,溪湖鎮,住,其他,1150319,1692000.0,11.28,0.0,11.28,150000.0,北勢段1404地號,True,False
530189867342979624,115S2,溪湖鎮,住,其他,1150319,2820000.0,18.8,0.0,18.8,150000.0,北勢段1404地號,True,False
1230545351500180055,115S2,埔心鄉,鄉村區,透天厝,1150311,6500000.0,37.24,47.9,47.9,135699.0,彰化縣埔心鄉建國路６８之１號,False,True
7439028436251925223,115S2,埔鹽鄉,鄉村區,透天厝,1150306,10500000.0,45.8,48.67,48.67,215739.0,彰化縣埔鹽鄉好金路１巷８之３２號,False,False
8923532355474365179,115S2,埔心鄉,鄉村區,透天厝,1150311,5500000.0,26.23,33.89,33.89,162290.0,彰化縣埔心鄉新路２３１巷４弄２２之１號,False,False
